state,lat,lon
AK,70.0187,-141.0205
AK,70.1292,-141.7291
AK,70.4515,-144.8163
AK,70.7471,-148.4583
AK,70.7923,-151.1609
AK,71.147,-152.6221
AK,71.1185,-153.9954
AK,71.4307,-154.8853
AK,71.5232,-156.7529
AK,71.2796,-157.9449
AK,71.2249,-159.6313
AK,70.6363,-161.8671
AK,70.0843,-163.5809
AK,69.3028,-165.2399
AK,69.1782,-166.8768
AK,68.3344,-168.0414
AK,67.6844,-165.9155
AK,67.2933,-164.6082
AK,66.7789,-164.0149
AK,66.581,-165.7507
AK,66.2867,-167.5745
AK,66.0269,-168.9862
AK,65.497,-168.9478
AK,65.042,-167.4756
AK,64.3922,-167.0142
AK,64.0554,-165.7343
AK,64.0193,-163.2294
AK,63.9615,-162.1143
AK,63.6877,-163.6029
AK,63.453,-165.3717
AK,62.4133,-166.3715
AK,61.6534,-166.9867
AK,60.8556,-166.4429
AK,60.5357,-167.8381
AK,59.5482,-167.7118
AK,59.4115,-165.8002
AK,59.3696,-164.5972
AK,59.1168,-162.8558
AK,58.1185,-162.5427
AK,58.1359,-160.6421
AK,58.0285,-159.505
AK,57.6336,-158.8953
AK,56.909,-159.906
AK,56.3926,-160.6531
AK,56.2342,-161.8835
AK,55.724,-162.9822
AK,55.2478,-164.3994
AK,54.7753,-165.3168
AK,54.1463,-167.1075
AK,53.5632,-168.5852
AK,53.1402,-169.9146
AK,52.5964,-169.5959
AK,52.9089,-168.2227
AK,54.2139,-162.7734
AK,54.6786,-159.1452
AK,55.6567,-155.4634
AK,57.351,-152.14
AK,59.2209,-150.8203
AK,59.7695,-147.4461
AK,60.3521,-145.985
AK,59.8917,-144.1544
AK,59.8172,-141.6811
AK,59.5225,-140.5124
AK,59.0292,-138.8548
AK,57.9032,-136.8526
AK,56.9157,-136.0725
AK,56.1555,-134.9794
AK,55.3237,-134.0057
AK,54.6341,-133.6418
AK,54.7135,-130.6261
AK,55.2869,-129.993
AK,55.9869,-130.0108
AK,56.1057,-130.1083
AK,56.6086,-131.5887
AK,57.8404,-132.8755
AK,58.7276,-133.8423
AK,59.3108,-134.9121
AK,59.802,-135.4724
AK,59.6039,-136.3445
AK,59.1619,-136.8251
AK,59.2441,-137.6079
AK,60.0902,-139.2119
AK,60.3575,-139.0938
AK,60.1866,-140.0056
AK,60.3059,-140.9999
AK,70.0187,-141.0205
AL,35.0041,-88.1955
AL,34.9918,-85.6068
AL,32.8404,-85.1756
AL,32.2593,-84.8927
AL,32.1535,-85.0342
AL,31.7947,-85.1358
AL,31.52,-85.0438
AL,31.3384,-85.0836
AL,31.2093,-85.107
AL,31.0023,-84.9944
AL,30.9953,-87.6009
AL,30.9423,-87.5926
AL,30.8539,-87.6256
AL,30.6745,-87.4072
AL,30.4404,-87.3688
AL,30.1463,-87.524
AL,30.1546,-88.3864
AL,31.8939,-88.4743
AL,34.8938,-88.1021
AL,34.9479,-88.1721
AL,34.9107,-88.1461
AR,35.0041,-88.1955
AR,34.9918,-85.6068
AR,32.8404,-85.1756
AR,32.2593,-84.8927
AR,32.1535,-85.0342
AR,31.7947,-85.1358
AR,31.52,-85.0438
AR,31.3384,-85.0836
AR,31.2093,-85.107
AR,31.0023,-84.9944
AR,30.9953,-87.6009
AR,30.9423,-87.5926
AR,30.8539,-87.6256
AR,30.6745,-87.4072
AR,30.4404,-87.3688
AR,30.1463,-87.524
AR,30.1546,-88.3864
AR,31.8939,-88.4743
AR,34.8938,-88.1021
AR,34.9479,-88.1721
AR,34.9107,-88.1461
AS,33.0225,-94.0416
AS,33.0075,-91.2057
AS,33.118,-91.1989
AS,33.1824,-91.1041
AS,33.3053,-91.1343
AS,33.4211,-91.1646
AS,33.4337,-91.2263
AS,33.5403,-91.2524
AS,33.6112,-91.1797
AS,33.6855,-91.2524
AS,33.6946,-91.1261
AS,33.7883,-91.1412
AS,33.77,-91.0451
AS,33.8328,-91.0341
AS,33.9399,-91.0863
AS,34.0208,-90.9256
AS,34.0856,-90.9036
AS,34.1345,-90.9586
AS,34.1675,-90.9132
AS,34.138,-90.8501
AS,34.2311,-90.9325
AS,34.3446,-90.6935
AS,34.4409,-90.5603
AS,34.5348,-90.5548
AS,34.5959,-90.5768
AS,34.7213,-90.5301
AS,34.7574,-90.5328
AS,34.878,-90.4546
AS,34.8454,-90.3529
AS,34.869,-90.2911
AS,35.0255,-90.3104
AS,35.1154,-90.2843
AS,35.1323,-90.1772
AS,35.1985,-90.1112
AS,35.2826,-90.1524
AS,35.4383,-90.1332
AS,35.5579,-90.0206
AS,35.674,-89.978
AS,35.7287,-89.9547
AS,35.9169,-89.6594
AS,35.9658,-89.6883
AS,36.0013,-89.713
AS,35.9958,-90.3735
AS,36.1268,-90.2664
AS,36.2875,-90.0934
AS,36.3892,-90.0742
AS,36.418,-90.1511
AS,36.4997,-90.1566
AS,36.4986,-94.6198
AS,35.3801,-94.4412
AS,33.6318,-94.4893
AS,33.6421,-94.4522
AS,33.5597,-94.4
AS,33.5883,-94.2462
AS,33.5872,-94.1885
AS,33.5345,-94.0375
AS,33.4314,-94.043
AS,33.0213,-94.043
AZ,36.9993,-112.5989
AZ,37.0004,-110.863
AZ,37.0004,-109.0475
AZ,31.3325,-109.0503
AZ,31.3325,-111.0718
AZ,32.4935,-114.8126
AZ,32.5184,-114.8099
AZ,32.5827,-114.8044
AZ,32.6246,-114.7992
AZ,32.67,-114.7474
AZ,32.7457,-114.7014
AZ,32.7342,-114.6176
AZ,32.7422,-114.5819
AZ,32.7584,-114.5393
AZ,32.8167,-114.5095
AZ,32.845,-114.4696
AZ,32.9107,-114.4817
AZ,32.9741,-114.4803
AZ,33.0317,-114.5256
AZ,33.0259,-114.6094
AZ,33.0317,-114.6588
AZ,33.0904,-114.7096
AZ,33.2065,-114.6849
AZ,33.2846,-114.722
AZ,33.3546,-114.6973
AZ,33.4051,-114.7258
AZ,33.412,-114.6533
AZ,33.5016,-114.5888
AZ,33.5317,-114.5599
AZ,33.6306,-114.5187
AZ,33.6786,-114.5297
AZ,33.7083,-114.494
AZ,33.7609,-114.5036
AZ,33.8157,-114.5284
AZ,33.8545,-114.5325
AZ,33.9285,-114.538
AZ,33.953,-114.5235
AZ,34.0049,-114.4748
AZ,34.0299,-114.4308
AZ,34.0891,-114.4363
AZ,34.1357,-114.3526
AZ,34.172,-114.2908
AZ,34.2044,-114.2255
AZ,34.2595,-114.1685
AZ,34.2572,-114.1301
AZ,34.3037,-114.1397
AZ,34.3664,-114.2276
AZ,34.4012,-114.2633
AZ,34.4534,-114.3388
AZ,34.493,-114.3608
AZ,34.5292,-114.3811
AZ,34.5959,-114.4377
AZ,34.6547,-114.4569
AZ,34.7506,-114.5297
AZ,34.8172,-114.5847
AZ,34.8724,-114.6341
AZ,34.949,-114.6313
AZ,35.0342,-114.6351
AZ,35.1019,-114.6451
AZ,35.1233,-114.619
AZ,35.1716,-114.5682
AZ,35.3364,-114.5984
AZ,35.4506,-114.6643
AZ,35.578,-114.6753
AZ,35.6171,-114.6547
AZ,35.6528,-114.6918
AZ,35.7053,-114.7028
AZ,35.805,-114.7093
AZ,35.8679,-114.6602
AZ,35.9836,-114.7426
AZ,36.0891,-114.7536
AZ,36.1124,-114.6794
AZ,36.1423,-114.6327
AZ,36.1301,-114.4872
AZ,36.1445,-114.369
AZ,36.0746,-114.3038
AZ,36.0602,-114.3172
AZ,36.0163,-114.2451
AZ,36.0402,-114.1438
AZ,36.0979,-114.115
AZ,36.1101,-114.1274
AZ,36.119,-114.1054
AZ,36.1989,-114.0463
AZ,36.3638,-114.045
AZ,37.0001,-114.0508
CA,41.9983,-124.4009
CA,42.0024,-123.6237
CA,42.0126,-123.1526
CA,42.0075,-122.0073
CA,41.9962,-121.2369
CA,41.9983,-119.9982
CA,39.0021,-120.0037
CA,37.5555,-117.9575
CA,36.3594,-116.3699
CA,35.0075,-114.6368
CA,34.9659,-114.6382
CA,34.9107,-114.6286
CA,34.8758,-114.6382
CA,34.8454,-114.597
CA,34.789,-114.5682
CA,34.7269,-114.4968
CA,34.6648,-114.4501
CA,34.6581,-114.4597
CA,34.5869,-114.4322
CA,34.5235,-114.3787
CA,34.4601,-114.3869
CA,34.45,-114.3361
CA,34.4375,-114.3031
CA,34.4024,-114.2674
CA,34.3559,-114.1864
CA,34.3049,-114.1383
CA,34.2561,-114.1315
CA,34.2595,-114.1651
CA,34.2044,-114.2249
CA,34.1914,-114.2221
CA,34.172,-114.2908
CA,34.1368,-114.3237
CA,34.1186,-114.3622
CA,34.1118,-114.4089
CA,34.0856,-114.4363
CA,34.0276,-114.4336
CA,34.0117,-114.4652
CA,33.9582,-114.5119
CA,33.9308,-114.5366
CA,33.9058,-114.5091
CA,33.8613,-114.5256
CA,33.8248,-114.5215
CA,33.7597,-114.505
CA,33.7083,-114.494
CA,33.6832,-114.5284
CA,33.6363,-114.5242
CA,33.5895,-114.5393
CA,33.5528,-114.5242
CA,33.5311,-114.5586
CA,33.507,-114.5778
CA,33.4418,-114.6245
CA,33.4142,-114.6506
CA,33.4039,-114.7055
CA,33.3546,-114.6973
CA,33.3041,-114.7302
CA,33.2858,-114.7206
CA,33.2754,-114.6808
CA,33.2582,-114.6698
CA,33.2467,-114.6904
CA,33.172,-114.6794
CA,33.0904,-114.7083
CA,33.0858,-114.6918
CA,33.0328,-114.6629
CA,33.0501,-114.6451
CA,33.0305,-114.6286
CA,33.0282,-114.5888
CA,33.0351,-114.575
CA,33.0328,-114.5174
CA,32.9718,-114.4913
CA,32.9764,-114.4775
CA,32.9372,-114.4844
CA,32.8427,-114.4679
CA,32.8161,-114.5091
CA,32.785,-114.5311
CA,32.7573,-114.5284
CA,32.7503,-114.5641
CA,32.7353,-114.6162
CA,32.748,-114.6986
CA,32.7191,-114.722
CA,32.6868,-115.1944
CA,32.5121,-117.3395
CA,32.7838,-117.4823
CA,33.0501,-117.5977
CA,33.2341,-117.6814
CA,33.4578,-118.0591
CA,33.5403,-118.629
CA,33.7928,-118.7073
CA,33.9582,-119.3706
CA,34.1925,-120.005
CA,34.2561,-120.7164
CA,34.536,-120.9128
CA,34.9749,-120.8427
CA,35.2131,-121.1325
CA,35.5255,-121.322
CA,35.9691,-121.8013
CA,36.2808,-122.1446
CA,36.7268,-122.1721
CA,37.2227,-122.6871
CA,37.7783,-122.8903
CA,37.8965,-123.2378
CA,38.3449,-123.3202
CA,38.7423,-123.8338
CA,38.9946,-123.9793
CA,39.3088,-124.0329
CA,39.7642,-124.0823
CA,40.1663,-124.5314
CA,40.4658,-124.6509
CA,41.011,-124.3144
CA,41.2386,-124.3419
CA,41.717,-124.4545
CA,41.9983,-124.4009
CO,37.0004,-109.0448
CO,36.9949,-102.0424
CO,41.0006,-102.0534
CO,40.9996,-109.0489
CO,37.0004,-109.0448
CT,42.0498,-73.4875
CT,42.0511,-73.4247
CT,42.0371,-72.8146
CT,41.9983,-72.8174
CT,42.0044,-72.7638
CT,42.036,-72.7563
CT,42.0368,-72.6945
CT,42.0309,-72.6086
CT,42.0269,-72.6059
CT,42.0269,-72.5784
